postPatch_label,res_index_label,marker_sum_norm_label,Tree_call_label
nucleus_absent,0,0.239651445,PoorQ
nucleus_absent,0,0.09843891,PoorQ
nucleus_absent,0,0.831220579,PoorQ
nucleus_absent,0,0.304867315,PoorQ
nucleus_present,0,0.325582849,PoorQ
nucleus_absent,0,0.033598132,PoorQ
nucleus_absent,0,0.080314966,PoorQ
nucleus_absent,0,0.289282239,PoorQ
nucleus_present,0,0.063377127,PoorQ
nucleus_absent,0,0.08510508,PoorQ
nucleus_absent,0,0.163923889,PoorQ
nucleus_absent,0,0.107595431,PoorQ
nucleus_absent,0,0.095950467,PoorQ
nucleus_absent,0,0.256705655,PoorQ
nucleus_present,0,0.522255767,PoorQ
nucleus_present,0,0.259516736,PoorQ
nucleus_present,0,0.184173385,PoorQ
nucleus_absent,0,0.147487886,PoorQ
nucleus_present,0,0.47010762,PoorQ
nucleus_present,0,0.871492078,PoorQ
nucleus_present,0,0.149536066,PoorQ
nucleus_absent,0,0.370150387,PoorQ
nucleus_absent,0,0.151304844,PoorQ
nucleus_absent,0,0.185048654,PoorQ
nucleus_absent,0,0.228410683,PoorQ
nucleus_absent,0,0.117791185,PoorQ
nucleus_absent,0,0.294659121,PoorQ
nucleus_absent,0,0.664137404,PoorQ
nucleus_present,0,0.283237724,PoorQ
nucleus_absent,0,0.227910265,PoorQ
nucleus_absent,0,0.911881207,PoorQ
nucleus_absent,0,0.265575912,PoorQ
nucleus_absent,0,0.137927955,PoorQ
nucleus_absent,0,0.081680267,PoorQ
nucleus_absent,0,0.218017483,PoorQ
nucleus_absent,0,0.184575466,PoorQ
nucleus_absent,0,0.516991237,PoorQ
nucleus_present,0,0.206615394,PoorQ
nucleus_absent,0,0.292371831,PoorQ
nucleus_absent,0,0.056495049,PoorQ
nucleus_absent,0,0.079830586,PoorQ
nucleus_absent,0,0.315636038,PoorQ
